Age,Years Served,Offense Class Most Serious Crime,Offense Type Most Serious Crime,Offense Subtype Most Serious Crime,Sex,Race,Ethnic Origin,Status,Jurisdiction,Serving Life,Serving Life with Possibility of Parole
31,3.3,C Felony,Violent,Sex,Male,Asian or Pacific Islander ,Hispanic,Prison,Muscatine,No,
48,0.4,D Felony,Property,Burglary,Male,American Indian or Alaska Native ,Hispanic,Prison,Delaware,No,
22,5.0,C Felony,Violent,Sex,Male,American Indian or Alaska Native ,Hispanic,Prison,Plymouth,No,
16,1.3,C Felony,Property,Arson,Male,American Indian or Alaska Native ,Hispanic,Prison,Woodbury,No,
22,1.4,D Felony,Public Order,Weapons,Male,American Indian or Alaska Native ,Hispanic,Prison,Tama,No,
18,4.4,C Felony,Property,Theft,Male,American Indian or Alaska Native ,Hispanic,Prison,Polk,No,
24,1.2,C Felony,Property,Arson,Male,American Indian or Alaska Native ,Hispanic,Prison,Tama,No,
32,0.9,Aggravated Misdemeanor,Violent,Robbery,Female,American Indian or Alaska Native ,Hispanic,Prison,Pottawattamie,No,
21,0.1,D Felony,Violent,Assault,Male,American Indian or Alaska Native ,Hispanic,Prison,Polk,No,
18,0.1,C Felony,Property,Burglary,Male,American Indian or Alaska Native ,Hispanic,Prison,Woodbury,No,
21,0.1,C Felony,Violent,Robbery,Male,American Indian or Alaska Native ,Hispanic,Prison,Webster,No,
37,9.2,B Felony,Violent,Robbery,Male,American Indian or Alaska Native ,Hispanic,Prison,Dubuque,No,
41,0.1,D Felony,Drug,Drug Possession,Male,American Indian or Alaska Native ,Hispanic,Prison,Bremer,No,
28,0.8,B Felony,Drug,Trafficking,Male,American Indian or Alaska Native ,Hispanic,Prison,Jasper,No,
24,0.8,C Felony,Drug,Trafficking,Female,American Indian or Alaska Native ,Hispanic,Prison,Woodbury,No,
37,0.4,D Felony,Public Order,Traffic,Male,Black ,Hispanic,Prison,Polk,No,
19,3.6,C Felony,Violent,Robbery,Male,Black ,Hispanic,Prison,Webster,No,
46,1.4,D Felony,Property,Burglary,Male,Black ,Hispanic,Prison,Woodbury,No,
27,1.6,Felony - Enhancement to Original Penalty,Drug,Trafficking,Male,Black ,Hispanic,Prison,Black Hawk,No,
35,0.7,D Felony,Property,Burglary,Male,Black ,Hispanic,Prison,Polk,No,
27,0.3,D Felony,Violent,Assault,Male,Black ,Hispanic,Prison,Webster,No,
28,3.0,D Felony,Property,Burglary,Male,Black ,Hispanic,Prison,Scott,No,
53,2.3,C Felony,Violent,Assault,Male,Black ,Hispanic,Prison,Polk,No,
36,1.2,D Felony,Violent,Assault,Male,Black ,Hispanic,Prison,Scott,No,
29,1.2,D Felony,Property,Vandalism,Male,Black ,Hispanic,Parole,Polk,No,
26,1.0,C Felony,Violent,Assault,Male,Black ,Hispanic,Prison,Cerro Gordo,No,
43,0.5,D Felony,Property,Burglary,Male,Black ,Hispanic,Prison,Poweshiek,No,
26,2.3,C Felony,Violent,Sex,Male,Black ,Hispanic,Prison,Mills,No,
31,0.9,B Felony,Drug,Trafficking,Male,Black ,Hispanic,Prison,Wapello,No,
21,0.9,D Felony,Violent,Sex,Male,Black ,Hispanic,Prison,Woodbury,No,
56,0.3,D Felony,Drug,Drug Possession,Male,White ,Hispanic,Prison,Polk,No,
58,1.3,C Felony,Violent,Sex,Male,White ,Hispanic,Prison,Cerro Gordo,No,
39,9.8,B Felony,Violent,Sex,Male,White ,Hispanic,Prison,Polk,No,
47,21.2,A Felony,Violent,Murder/Manslaughter,Male,White ,Hispanic,Prison,Dubuque,Yes,No
24,25.6,A Felony,Violent,Murder/Manslaughter,Male,White ,Hispanic,Prison,Bremer,Yes,No
55,0.3,D Felony,Drug,Trafficking,Male,White ,Hispanic,Prison,Woodbury,No,
46,0.3,B Felony,Drug,Trafficking,Male,White ,Hispanic,Prison,Webster,No,
32,22.8,A Felony,Violent,Murder/Manslaughter,Male,White ,Hispanic,Prison,Linn,Yes,No
36,40.8,Other Felony,Violent,Murder/Manslaughter,Male,White ,Hispanic,Prison,Polk,Yes,No
26,36.6,A Felony,Violent,Murder/Manslaughter,Male,White ,Hispanic,Prison,Polk,Yes,No
57,0.2,D Felony,Public Order,OWI,Male,White ,Hispanic,Prison,Polk,No,
54,2.6,Felony - Enhancement to Original Penalty,Drug,Trafficking,Male,White ,Hispanic,Prison,Polk,No,
38,15.8,B Felony,Violent,Sex,Male,White ,Hispanic,Prison,Mahaska,No,
45,1.2,D Felony,Drug,Drug Possession,Male,White ,Hispanic,Prison,Polk,No,
18,27.8,A Felony,Violent,Murder/Manslaughter,Male,White ,Hispanic,Prison,Story,Yes,Yes
20,19.2,A Felony,Violent,Murder/Manslaughter,Male,White ,Hispanic,Prison,Polk,Yes,No
25,19.0,A Felony,Violent,Murder/Manslaughter,Male,White ,Hispanic,Prison,Polk,Yes,No
22,19.0,A Felony,Violent,Murder/Manslaughter,Male,White ,Hispanic,Prison,Polk,Yes,No
43,18.9,A Felony,Violent,Murder/Manslaughter,Male,White ,Hispanic,Prison,Polk,Yes,No
17,16.7,A Felony,Violent,Murder/Manslaughter,Male,White ,Hispanic,Prison,Buena Vista,Yes,Yes
44,0.8,C Felony,Drug,Trafficking,Male,White ,Hispanic,Prison,Polk,No,
22,13.7,A Felony,Violent,Murder/Manslaughter,Male,White ,Hispanic,Prison,Crawford,Yes,No
53,6.5,B Felony,Violent,Murder/Manslaughter,Male,White ,Hispanic,Prison,Dubuque,No,
44,1.1,C Felony,Violent,Robbery,Male,White ,Hispanic,Prison,Polk,No,
56,0.7,C Felony,Violent,Assault,Male,White ,Hispanic,Prison,Scott,No,
22,26.2,A Felony,Violent,Murder/Manslaughter,Male,White ,Hispanic,Prison,Woodbury,Yes,No
48,0.6,B Felony,Violent,Murder/Manslaughter,Male,White ,Hispanic,Prison,Winneshiek,No,
44,16.3,B Felony,Violent,Murder/Manslaughter,Male,White ,Hispanic,Prison,Wapello,No,
18,25.1,A Felony,Violent,Murder/Manslaughter,Male,White ,Hispanic,Prison,Polk,Yes,Yes
50,0.3,D Felony,Public Order,OWI,Male,White ,Hispanic,Prison,Woodbury,No,
43,0.5,D Felony,Violent,Assault,Male,White ,Hispanic,Prison,Appanoose,No,
39,1.7,B Felony,Violent,Murder/Manslaughter,Male,White ,Hispanic,Parole,Woodbury,No,
42,0.9,C Felony,Property,Burglary,Male,White ,Hispanic,Prison,Webster,No,
18,24.6,A Felony,Violent,Murder/Manslaughter,Male,White ,Hispanic,Prison,Woodbury,Yes,No
46,1.4,B Felony,Drug,Trafficking,Male,White ,Hispanic,Prison,Polk,No,
48,3.5,A Felony,Violent,Sex,Male,White ,Hispanic,Prison,Emmet,Yes,No
31,13.2,B Felony,Violent,Sex,Male,White ,Hispanic,Prison,Johnson,No,
57,1.7,C Felony,Violent,Robbery,Male,White ,Hispanic,Prison,Webster,No,
42,0.5,D Felony,Violent,Assault,Male,White ,Hispanic,Prison,Cerro Gordo,No,
34,20.4,A Felony,Violent,Murder/Manslaughter,Male,White ,Hispanic,Prison,Pottawattamie,Yes,No
54,1.1,B Felony,Violent,Murder/Manslaughter,Male,White ,Hispanic,Prison,Pottawattamie,No,
42,0.8,B Felony,Drug,Trafficking,Male,White ,Hispanic,Prison,Polk,No,
37,4.9,B Felony,Violent,Kidnap,Male,White ,Hispanic,Prison,Marshall,No,
18,23.2,A Felony,Violent,Murder/Manslaughter,Male,White ,Hispanic,Prison,Woodbury,Yes,No
53,1.5,D Felony,Violent,Assault,Male,White ,Hispanic,Prison,Buchanan,No,
41,11.5,C Felony,Violent,Sex,Male,White ,Hispanic,Prison,Polk,No,
43,8.4,B Felony,Violent,Murder/Manslaughter,Male,White ,Hispanic,Prison,Floyd,No,
50,0.3,C Felony,Violent,Assault,Male,White ,Hispanic,Prison,Black Hawk,No,
40,0.1,C Felony,Violent,Assault,Female,White ,Hispanic,Prison,Black Hawk,No,
20,22.2,A Felony,Violent,Murder/Manslaughter,Male,White ,Hispanic,Prison,Sioux,Yes,No
18,22.2,A Felony,Violent,Murder/Manslaughter,Male,White ,Hispanic,Prison,Sioux,Yes,No
40,21.0,A Felony,Violent,Murder/Manslaughter,Male,White ,Hispanic,Prison,Polk,Yes,No
40,0.4,C Felony,Drug,Trafficking,Female,White ,Hispanic,Prison,Hancock,No,
19,20.4,B Felony,Violent,Robbery,Male,White ,Hispanic,Prison,Scott,No,
39,0.9,C Felony,Drug,Trafficking,Male,White ,Hispanic,Prison,Polk,No,
40,0.6,C Felony,Drug,Trafficking,Male,White ,Hispanic,Prison,Polk,No,
27,14.5,A Felony,Violent,Kidnap,Male,White ,Hispanic,Prison,Des Moines,Yes,No
40,0.1,B Felony,Violent,Sex,Male,White ,Hispanic,Prison,Mills,No,
38,1.1,C Felony,Drug,Trafficking,Male,White ,Hispanic,Prison,Muscatine,No,
38,0.3,D Felony,Drug,Drug Possession,Male,White ,Hispanic,Prison,Black Hawk,No,
32,8.1,B Felony,Violent,Sex,Male,White ,Hispanic,Prison,Scott,No,
29,20.0,A Felony,Violent,Murder/Manslaughter,Male,White ,Hispanic,Prison,Woodbury,Yes,No
47,2.6,B Felony,Violent,Murder/Manslaughter,Male,White ,Hispanic,Prison,Cerro Gordo,No,
62,2.1,B Felony,Violent,Murder/Manslaughter,Male,White ,Hispanic,Prison,Scott,No,
38,0.1,D Felony,Public Order,Other Public Order,Male,White ,Hispanic,Prison,Plymouth,No,
23,20.3,A Felony,Violent,Murder/Manslaughter,Male,White ,Hispanic,Prison,Woodbury,Yes,No
37,10.1,B Felony,Violent,Kidnap,Male,White ,Hispanic,Prison,Allamakee,No,
46,6.3,C Felony,Violent,Sex,Male,White ,Hispanic,Prison,Guthrie,No,
17,19.7,A Felony,Violent,Kidnap,Male,White ,Hispanic,Prison,Kossuth,Yes,Yes
36,0.0,C Felony,Public Order,Other Public Order,Male,White ,Hispanic,Prison,Pottawattamie,No,
37,0.8,C Felony,Drug,Trafficking,Male,White ,Hispanic,Prison,Cerro Gordo,No,
36,0.2,C Felony,Property,Burglary,Male,White ,Hispanic,Prison,Mills,No,
38,0.0,C Felony,Drug,Trafficking,Male,White ,Hispanic,Prison,Woodbury,No,
17,19.1,B Felony,Violent,Murder/Manslaughter,Male,White ,Hispanic,Prison,Polk,No,
36,0.5,D Felony,Public Order,Traffic,Male,White ,Hispanic,Prison,Boone,No,
36,1.0,D Felony,Property,Burglary,Male,White ,Hispanic,Prison,Polk,No,
45,2.3,D Felony,Public Order,OWI,Male,White ,Hispanic,Prison,Monona,No,
22,15.0,A Felony,Violent,Murder/Manslaughter,Male,White ,Hispanic,Prison,Polk,Yes,No
